BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU03760101;BU03760101;Bijvanck;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1814;98;1893;219392;10188;False;39;22;8;0;0;9;544;39;0;32;11;0;0;-5;0;-258817;-73;-137;0;0;0;0;0;0;1814;0;0;0;0;0;0;0;0;0;0;0;0;0;1814;233;465;883;233;0;0;3;1;0;0;0;2;18;3;0;32;3;0;0;-32;0;-258817;-73;-137;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1531
BU03760102;BU03760102;Blaricum-Dorp;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;2249;185;2577;332147;42635;False;49;33;8;0;0;8;273;49;0;45;10;0;0;-6;0;-343611;-46;-133;0;0;0;0;0;0;2249;0;0;0;0;0;0;0;0;0;0;0;0;0;2249;213;248;225;1563;0;0;10;3;0;0;2;5;18;10;0;45;7;0;0;-43;0;-343611;-46;-133;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;185;1532
BU03760103;BU03760103;Blaricummer Heide;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;3;9;200;996;False;8;6;1;0;0;1;1;8;0;35;10;0;0;-36;0;3061;77;353;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;76;24;3;0;29;21;3;76;0;35;38;0;0;4;0;3061;77;353;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1533
BU03760104;BU03760104;Blaricummermeent;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;914;142;1031;129433;15205;False;31;16;7;0;0;8;331;31;0;18;10;12;0;-9;0;33357;21;32;0;0;0;393;0;0;521;0;0;0;0;0;0;0;0;0;393;0;0;0;521;905;9;0;0;0;0;5;2;0;0;1;2;30;5;0;18;7;12;0;-32;0;33357;21;32;0;0;0;61;0;0;81;0;0;0;0;0;0;0;0;0;61;0;0;0;81;1534
BU03760105;BU03760105;Crailo;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;56;5;355;11012;38814;False;10;7;1;0;0;1;87;10;0;55;4;0;0;-49;0;-77687;-67;-219;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;56;10;2;9;35;0;0;77;42;4;0;6;26;454;77;0;55;30;0;0;-8;0;-77687;-67;-219;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1535
BU03760106;BU03760106;De Kampen;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;0;1;200;0;False;77;58;9;0;0;10;0;77;0;69;11;0;0;-2;0;-727;-181;-727;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;69;1;0;0;-70;0;-727;-181;-727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1536
BU03760107;BU03760107;Eemmeer-Blaricum;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;0;0;0;0;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1537
BU03760108;BU03760108;Stichtsebrug;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;0;3;1;0;118;False;0;0;0;0;0;0;0;0;0;49;10;0;0;-58;0;-57;-22;-63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;45;4;0;33;20;2;103;0;49;40;0;0;14;0;-57;-22;-63;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1538
BU03760109;BU03760109;Warandepark-De Eng;WK037601;Blaricum;GM0376;Blaricum;Noord-Holland Zuid;Noord-Holland;1;1;2;83;95;False;31;20;5;0;0;6;0;31;0;41;11;0;0;-21;0;-32;-5;-18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;37;13;2;0;15;7;0;37;0;41;16;0;0;-21;0;-32;-5;-18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1539
BU04020101;BU04020101;Centrum;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1922;545;3836;174700;248751;False;17;9;4;0;0;4;1219;17;0;23;7;0;0;-13;0;966850;128;252;0;0;0;0;0;0;1922;0;0;0;0;0;0;0;0;0;0;0;0;0;1922;385;432;269;836;0;0;46;9;1;0;7;29;923;46;0;23;34;0;0;-11;0;966850;128;252;0;0;0;0;0;0;545;0;0;0;0;0;0;0;0;0;0;0;0;0;545;1885
BU04020102;BU04020102;Havenstraatbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1532;196;1744;128565;27500;False;32;17;7;0;0;8;1890;32;0;28;10;0;0;-5;0;73278;22;42;0;0;0;0;0;0;1532;0;0;0;0;0;0;0;0;0;0;0;0;0;1532;196;205;276;855;0;0;11;2;0;0;2;7;158;11;0;28;9;0;0;-26;0;73278;22;42;0;0;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;196;1886
BU04020103;BU04020103;Sint Vitusbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;837;57;1022;72019;24048;False;32;18;6;0;0;8;1224;32;0;29;9;0;0;-7;0;38984;18;38;0;0;0;0;0;0;837;0;0;0;0;0;0;0;0;0;0;0;0;0;837;40;42;114;641;0;0;11;3;0;0;2;6;168;11;0;29;8;0;0;-26;0;38984;18;38;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;57;1887
BU04020104;BU04020104;Langgewenstbuurt;WK040201;Centrum;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;994;261;1798;78864;104436;False;19;10;4;0;0;5;1219;19;0;22;8;0;0;-11;0;634410;199;353;0;0;0;0;0;0;994;0;0;0;0;0;0;0;0;0;0;0;0;0;994;147;165;231;451;0;0;39;7;0;0;6;25;644;39;0;22;29;0;0;-13;0;634410;199;353;0;0;0;0;0;0;261;0;0;0;0;0;0;0;0;0;0;0;0;0;261;1888
BU04020201;BU04020201;Boomberg;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;1537;211;2217;194721;88380;False;32;21;5;0;0;6;635;32;0;33;8;0;0;-10;0;230129;39;104;0;0;0;0;0;0;1537;0;0;0;0;0;0;0;0;0;0;0;0;0;1537;78;84;316;1059;0;0;23;6;0;0;4;12;155;23;0;33;16;0;0;-26;0;230129;39;104;0;0;0;0;0;0;211;0;0;0;0;0;0;0;0;0;0;0;0;0;211;1889
BU04020202;BU04020202;Raadhuiskwartier;WK040202;Noordwest;GM0402;Hilversum;Noord-Holland Zuid;Noord-Holland;643;89;1020;100253;48889;False;34;23;6;0;0;6;633;34;0;38;9;0;0;-13;0;24535;7;24;0;0;0;0;0;0;643;0;0;0;0;0;0;0;0;0;0;0;0;0;643;77;5;29;532;0;0;35;9;0;0;6;19;209;35;0;38;24;0;0;-27;0;24535;7;24;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;89;1890
