BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_Vraag_totaal;H02_Vraag_Ruimteverwarming;H03_Vraag_Tapwater;H04_Vraag_Ventilatie;H05_Vraag_Koude;H06_Vraag_Apparaten;H07_Vraag_perhectare;H08_Input_totaal;H09_Input_aardgas;H10_Input_duurzaamgas;H11_Input_elektriciteit;H12_Input_MTwarmte;H13_Input_LTwarmte;H14_Saldo_Omgevingswarmte;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;H19_waarde_hernieuwbaar_gas;A01_Aansl_aardgas;A02_Aansl_eWP;A03_Aansl_MT;A04_Aansl_LT;A05_Aansl_hWP_HG;A06_Aansl_HR_HG;A10_Aansl_LT_WKO;A11_Aansl_LT_LT15_30;A12_Aansl_LT_LT15_50;A13_Aansl_LT_LT15_70;A14_Aansl_LT_LT30_30;A15_Aansl_LT_LT30_50;A16_Aansl_LT_LT30_70;A17_Aansl_LT_TEO;A18_Aansl_LT_BuurtWKO;A19_Aansl_MT_Restwarmte;A20_Aansl_MT_Geothermie;A21_Aansl_MT_WijkWKK;A22_Aansl_MT_BioWKK;A23_Aansl_H2;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2574;229;4359;False;52;16;3;0;6;28;564;52;0;0;34;0;0;18;0;1287097;258;295;0;0;2803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;349;48;833;False;69;24;2;0;10;34;527;69;0;0;44;0;0;25;0;309791;227;372;0;0;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;3983;441;8871;False;65;22;3;0;9;32;2552;65;0;4;36;15;0;12;0;2639183;197;298;0;0;1947;586;0;0;0;0;0;0;0;0;0;0;0;0;586;0;0;0;0;138
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;False;81;20;2;0;22;36;154;81;0;0;49;0;0;32;0;103349;185;632;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1237;8;1365;False;31;12;4;0;2;14;329;31;0;1;17;3;0;11;0;484296;368;355;0;0;1046;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;False;73;22;3;0;13;35;316;73;0;0;46;0;0;27;0;313603;263;483;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5534;91;6952;False;39;15;3;0;3;18;1812;39;0;0;24;0;0;15;0;1686048;170;243;0;0;5625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236
BU03636601;BU03636601;Oostzanerdijk;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;241;46;333;False;45;19;5;0;4;16;182;45;0;0;25;0;0;20;0;201306;332;606;0;0;287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;365
BU03636602;BU03636602;Walvisbuurt;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;546;7;579;False;41;20;7;0;1;13;327;41;0;0;22;0;0;20;0;257769;257;446;0;0;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366
BU03636604;BU03636604;Noorder IJplas;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;2;1;3;False;56;27;8;1;3;18;1;56;0;0;30;0;0;26;0;6059;1030;2525;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368
BU03637104;BU03637104;Cornelis Douwesterrein;WK036371;Noordelijke IJ-oevers West;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;640;59;1253;False;56;17;2;0;6;31;264;56;0;0;38;0;0;19;0;327425;223;261;0;0;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392
