BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;14577;229;16362;1209968;232015;False;363774;162922;55405;1;0;145446;1515;363774;0;305772;149611;0;0;-91608;0;6;0;0;0;0;0;14577;0;0;0;0;0;0;0;0;0;0;0;0;0;14577;14573;4;0;0;0;0;162636;37900;1198;0;29200;94338;271;162636;0;302573;103587;0;0;-243524;0;6612;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;229;0;229;0;0;0;0;0;14215022;2851;14215022;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1736;48;2220;144022;62814;False;43325;19398;6605;0;0;17321;640;43325;0;47334;17817;0;0;-21827;0;3;0;0;0;0;0;1736;0;0;0;0;0;0;0;0;0;0;0;0;0;1736;1734;2;0;0;0;0;48752;14732;435;0;8871;24714;373;48752;0;56493;27577;0;0;-35319;0;1790;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;48;0;0;0;0;0;2006273;1470;2006273;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;80;749;688;96293;False;274;138;60;4;0;73;4;274;0;17909;10229;5262;0;-33125;0;12;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;8;0;0;0;0;76622;20823;539;0;13200;42060;462;76622;0;33942;46290;5262;0;-8872;0;2744;0;0;18;0;0;62;0;0;0;0;0;0;0;0;0;18;0;0;0;62;0;80;0;0;0;0;0;462823;271;462823;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4275;441;9163;334868;635339;False;105458;45780;18073;0;0;41604;747;105458;0;157244;173082;128881;0;-353749;0;908;0;0;339;0;0;1881;0;0;0;0;0;0;0;0;0;339;0;0;0;1881;3670;247;0;0;0;0;482014;143477;5345;0;91293;241898;1742;482014;0;192855;273490;128881;0;-113213;0;18107;0;0;247;0;0;194;0;0;0;0;0;0;0;0;0;247;0;0;0;194;0;441;0;0;0;0;0;4611073;343;4611073;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;60;1751;131503;63140;False;32549;12256;9739;0;0;10555;730;32549;0;50758;14485;4852;0;-37546;0;1898;0;0;190;0;0;1075;0;0;0;0;0;0;0;0;0;190;0;0;0;1075;0;956;0;0;0;0;35987;7063;591;0;7259;21074;254;35987;0;35715;24988;4852;0;-29567;0;1799;0;0;9;0;0;51;0;0;0;0;0;0;0;0;0;9;0;0;0;51;0;60;0;0;0;0;0;444650;213;444650;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;30990;13354;8206;514;0;8916;1808;30990;0;51646;9704;0;0;-30359;0;1611;0;0;0;0;0;1074;0;0;0;0;0;0;0;0;0;0;0;0;0;1074;0;1074;0;0;0;0;7214;2791;388;0;2861;1173;267;7214;0;30631;2049;0;0;-25467;0;311;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;1158019;523;1158019;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;0;21269;False;0;0;0;0;0;0;0;0;0;3489;0;0;0;-3489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13468;3055;404;0;4091;5918;147;13468;0;6988;7190;0;0;-710;0;606;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;39;0;0;0;0;0;116805;209;116805;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1237;8;1365;102894;16611;False;30954;13883;4728;1;0;12341;295;30954;0;35497;11943;3505;0;-19991;0;8;0;0;1;0;0;1039;0;0;0;0;0;0;0;0;0;1;0;0;0;1039;1232;4;0;0;0;0;10863;1257;100;0;2443;7063;21;10863;0;19900;7835;3505;0;-20377;0;473;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;8;0;0;0;0;0;446292;339;446292;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;6143;2847;1359;19;0;1918;81;6143;0;20438;2001;0;0;-16296;0;339;0;0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;226;0;226;0;0;0;0;41538;10799;608;0;9533;20598;219;41538;0;27041;23571;0;0;-9073;0;1568;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;0;0;0;0;0;388583;331;388583;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5534;91;6952;459533;184233;False;138197;61885;21090;7;0;55215;1218;138197;0;211732;56805;0;0;-130340;0;21;0;0;0;0;0;5534;0;0;0;0;0;0;0;0;0;0;0;0;0;5534;5520;13;0;0;0;0;129307;34056;1219;0;23962;70070;518;129307;0;157375;77822;0;0;-105890;0;5251;0;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;91;0;0;0;0;0;2546734;256;2546734;236
