BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H15_CO2_uitstoot;Woning_H16_Nat_meerkost;Woning_H17_Nat_meerkost_CO2;Woning_H18_Nat_meerkost_WEQ;Woning_H19_Waarde_hernieuwbaar_gas;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H15_CO2_uitstoot;Util_H16_Nat_meerkost;Util_H17_Nat_meerkost_CO2;Util_H18_Nat_meerkost_WEQ;Util_H19_Waarde_hernieuwbaar_gas;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;686;402;1923;65994;160794;False;13;7;2;0;0;3;788;13;0;11;3;0;0;-1;0;1522704;345;792;0;0;0;0;0;0;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;106;151;362;0;0;60;13;1;0;9;36;1116;60;0;14;39;0;0;7;0;1522704;345;792;0;0;0;0;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;914;47711;56820;False;23;14;4;0;0;5;872;23;0;19;5;0;0;-1;0;875140;399;958;0;0;0;0;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;65;35;326;0;0;47;14;0;0;8;25;707;47;0;14;27;0;0;6;0;875140;399;958;0;0;0;0;0;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;572;116;793;72890;28684;False;33;21;6;0;0;7;826;33;0;28;7;0;0;-2;0;794030;413;1002;0;0;0;0;0;0;572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;109;46;367;0;0;22;6;0;0;3;13;184;22;0;6;14;0;0;2;0;794030;413;1002;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1727;318;1902;191115;22717;False;37;22;7;0;0;8;605;37;0;30;9;0;0;-2;0;1623464;424;854;0;0;0;0;0;0;1727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;409;359;334;625;0;0;7;2;0;0;1;4;42;7;0;2;5;0;0;1;0;1623464;424;854;0;0;0;0;0;0;318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1854;285;2461;196599;78842;False;32;19;6;0;0;7;987;32;0;27;7;0;0;-2;0;2282685;391;928;0;0;0;0;0;0;1854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;387;358;951;0;0;15;4;0;0;2;8;179;15;0;5;9;0;0;1;0;2282685;391;928;0;0;0;0;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1411;103;1520;156467;14102;False;45;28;8;0;0;9;936;45;0;38;10;0;0;-2;0;1659810;431;1092;0;0;0;0;0;0;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;40;236;1113;0;0;4;1;0;0;1;2;33;4;0;1;2;0;0;0;0;1659810;431;1092;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;4614;18663;False;10;7;1;0;0;2;84;10;0;9;2;0;0;0;0;205459;518;1198;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;19;0;0;75;16;0;0;9;50;155;75;0;16;53;0;0;6;0;205459;518;1198;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2044;415;2234;202177;24700;False;38;22;7;0;0;8;897;38;0;31;9;0;0;-2;0;1903239;415;852;0;0;0;0;0;0;2044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415;101;294;1234;0;0;7;1;0;0;1;4;46;7;0;2;5;0;0;1;0;1903239;415;852;0;0;0;0;0;0;415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;919;114;1075;120636;20232;False;43;28;8;0;0;8;980;43;0;37;9;0;0;-2;0;1226125;436;1141;0;0;0;0;0;0;919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;93;83;623;0;0;10;2;0;0;1;6;68;10;0;2;7;0;0;1;0;1226125;436;1141;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1274;105647;11597;False;38;22;7;0;0;9;1079;38;0;32;9;0;0;-2;0;1108791;418;871;0;0;0;0;0;0;1184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;75;141;927;0;0;5;1;0;0;1;3;41;5;0;1;4;0;0;1;0;1108791;418;871;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230
